2022-09-22 14:35:25.797 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-22 14:35:25.797 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-09-22 14:35:26.043 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-22 14:35:26.044 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4524 ms
2022-09-22 14:35:29.606 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2022-09-22 14:35:29.613 [main] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: main
2022-09-22 14:35:29.637 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2022-09-22 14:35:29.638 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
2022-09-22 14:35:29.655 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-09-22 14:35:30.469 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-09-22 14:35:30.483 [main] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - Using db table-based data access locking (synchronization).
2022-09-22 14:35:30.486 [main] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - JobStoreCMT initialized.
2022-09-22 14:35:30.487 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'DBSwitch-Quartz-Scheduler' with instanceId 'liujinhui1663828529611'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2022-09-22 14:35:30.488 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DBSwitch-Quartz-Scheduler' initialized from an externally provided properties instance.
2022-09-22 14:35:30.488 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.2
2022-09-22 14:35:30.488 [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: com.gitee.dbswitch.admin.config.QuartzConfig$AutowiringSpringBeanJobFactory@5e9bbd9d
2022-09-22 14:35:30.775 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-09-22 14:35:31.013 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2022-09-22 14:35:31.015 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2022-09-22 14:35:31.016 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2022-09-22 14:35:31.016 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2022-09-22 14:35:31.226 [main] INFO  org.flywaydb.core.internal.license.VersionPrinter - Flyway Community Edition 6.4.4 by Redgate
2022-09-22 14:35:31.354 [main] INFO  o.flywaydb.core.internal.database.DatabaseFactory - Database: jdbc:mysql://172.16.5.162:3306/dbswitch (MySQL 8.0)
2022-09-22 14:35:32.174 [main] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 6 migrations (execution time 00:00.381s)
2022-09-22 14:35:32.442 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema `dbswitch`: 1.0.5
2022-09-22 14:35:32.493 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Schema `dbswitch` is up to date. No migration necessary.
2022-09-22 14:35:33.155 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9088"]
2022-09-22 14:35:33.186 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9088 (http) with context path ''
2022-09-22 14:35:33.248 [main] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
2022-09-22 14:35:33.587 [main] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
